dataset,distribution,study,version
kpkal,v29,soep-core,v29
hh,v29,soep-core,v29
upkal,v29,soep-core,v29
tpequiv,v29,soep-core,v29
epausl,v29,soep-core,v29
bapbrutto,v29,soep-core,v29
lpkal,v29,soep-core,v29
hbrutt00,v29,soep-core,v29
bioage08b,v29,soep-core,v29
fpgen,v29,soep-core,v29
mp,v29,soep-core,v29
bp,v29,soep-core,v29
npluecke,v29,soep-core,v29
hpkal,v29,soep-core,v29
vpkal,v29,soep-core,v29
bcpbrutto,v29,soep-core,v29
akind,v29,soep-core,v29
hpluecke,v29,soep-core,v29
qpbrutto,v29,soep-core,v29
hpkalost,v29,soep-core,v29
ppfad,v29,soep-core,v29
biojob,v29,soep-core,v29
zkind,v29,soep-core,v29
hpbrutto,v29,soep-core,v29
lpluecke,v29,soep-core,v29
whgen,v29,soep-core,v29
biotwin,v29,soep-core,v29
qpgen,v29,soep-core,v29
kpequiv,v29,soep-core,v29
ph,v29,soep-core,v29
biosib,v29,soep-core,v29
tpgen,v29,soep-core,v29
bbpage17,v29,soep-core,v29
npequiv,v29,soep-core,v29
ah,v29,soep-core,v29
ypequiv,v29,soep-core,v29
cirdef,v29,soep-core,v29
ghbrutto,v29,soep-core,v29
bbp,v29,soep-core,v29
bpkal,v29,soep-core,v29
wpgen,v29,soep-core,v29
xhgen,v29,soep-core,v29
ihgen,v29,soep-core,v29
khgen,v29,soep-core,v29
gpausl,v29,soep-core,v29
cogdj,v29,soep-core,v29
bah,v29,soep-core,v29
cpluecke,v29,soep-core,v29
epluecke,v29,soep-core,v29
ppbrutto,v29,soep-core,v29
bchbrutto,v29,soep-core,v29
hpequiv,v29,soep-core,v29
bioage01,v29,soep-core,v29
dpbrutto,v29,soep-core,v29
uhgen,v29,soep-core,v29
fp,v29,soep-core,v29
fpbrutto,v29,soep-core,v29
hbrutt11,v29,soep-core,v29
opkal,v29,soep-core,v29
biomarsy,v29,soep-core,v29
ykind,v29,soep-core,v29
dhgen,v29,soep-core,v29
bcp,v29,soep-core,v29
epbrutto,v29,soep-core,v29
xkind,v29,soep-core,v29
apausl,v29,soep-core,v29
ghgen,v29,soep-core,v29
up,v29,soep-core,v29
bch,v29,soep-core,v29
vh,v29,soep-core,v29
bahgen,v29,soep-core,v29
bpequiv,v29,soep-core,v29
jpgen,v29,soep-core,v29
qh,v29,soep-core,v29
xpage17,v29,soep-core,v29
qhgen,v29,soep-core,v29
xpbrutto,v29,soep-core,v29
kpausl,v29,soep-core,v29
jpausl,v29,soep-core,v29
rhgen,v29,soep-core,v29
xhbrutto,v29,soep-core,v29
pkind,v29,soep-core,v29
rpequiv,v29,soep-core,v29
mpequiv,v29,soep-core,v29
ekind,v29,soep-core,v29
biobirth,v29,soep-core,v29
uh,v29,soep-core,v29
einkalen,v29,soep-core,v29
yp,v29,soep-core,v29
ch,v29,soep-core,v29
apgen,v29,soep-core,v29
tkind,v29,soep-core,v29
zpkal,v29,soep-core,v29
thbrutto,v29,soep-core,v29
pwealth,v29,soep-core,v29
bioage03,v29,soep-core,v29
bkind,v29,soep-core,v29
ehgen,v29,soep-core,v29
hhgen,v29,soep-core,v29
bbvp,v29,soep-core,v29
pbr_exit,v29,soep-core,v29
tpkal,v29,soep-core,v29
bcpgen,v29,soep-core,v29
phbrutto,v29,soep-core,v29
gpluecke,v29,soep-core,v29
wh,v29,soep-core,v29
ihbrutto,v29,soep-core,v29
bcpequiv,v29,soep-core,v29
dpgen,v29,soep-core,v29
hbrutt84,v29,soep-core,v29
biocouply,v29,soep-core,v29
npbrutto,v29,soep-core,v29
chbrutto,v29,soep-core,v29
xpluecke,v29,soep-core,v29
yhgen,v29,soep-core,v29
vkind,v29,soep-core,v29
zpequiv,v29,soep-core,v29
bbpequiv,v29,soep-core,v29
dkind,v29,soep-core,v29
bapage17,v29,soep-core,v29
mhbrutto,v29,soep-core,v29
ppgen,v29,soep-core,v29
trust,v29,soep-core,v29
ipluecke,v29,soep-core,v29
tpbrutto,v29,soep-core,v29
ppequiv,v29,soep-core,v29
gpkalost,v29,soep-core,v29
hbrutt02,v29,soep-core,v29
wpequiv,v29,soep-core,v29
kpgen,v29,soep-core,v29
bhbrutto,v29,soep-core,v29
xpkal,v29,soep-core,v29
bioedu,v29,soep-core,v29
bbpkal,v29,soep-core,v29
yh,v29,soep-core,v29
kidlong,v29,soep-core,v29
lpgen,v29,soep-core,v29
fpausl,v29,soep-core,v29
vp,v29,soep-core,v29
gpgen,v29,soep-core,v29
bcvp,v29,soep-core,v29
lp,v29,soep-core,v29
ppluecke,v29,soep-core,v29
hwealth,v29,soep-core,v29
skind,v29,soep-core,v29
bioimmig,v29,soep-core,v29
jkind,v29,soep-core,v29
nhbrutto,v29,soep-core,v29
dhbrutto,v29,soep-core,v29
fpequiv,v29,soep-core,v29
kpbrutto,v29,soep-core,v29
lhgen,v29,soep-core,v29
health,v29,soep-core,v29
upequiv,v29,soep-core,v29
rpgen,v29,soep-core,v29
bckind,v29,soep-core,v29
oh,v29,soep-core,v29
qhbrutto,v29,soep-core,v29
eh,v29,soep-core,v29
dpluecke,v29,soep-core,v29
gkind,v29,soep-core,v29
ih,v29,soep-core,v29
kp,v29,soep-core,v29
chgen,v29,soep-core,v29
jhbrutto,v29,soep-core,v29
ipausl,v29,soep-core,v29
vpgen,v29,soep-core,v29
bbpgen,v29,soep-core,v29
rhbrutto,v29,soep-core,v29
dh,v29,soep-core,v29
spbrutto,v29,soep-core,v29
np,v29,soep-core,v29
mihinc,v29,soep-core,v29
bap,v29,soep-core,v29
mpbrutto,v29,soep-core,v29
abroad,v29,soep-core,v29
pbiospe,v29,soep-core,v29
zpluecke,v29,soep-core,v29
cp,v29,soep-core,v29
vhgen,v29,soep-core,v29
jh,v29,soep-core,v29
xp,v29,soep-core,v29
kpluecke,v29,soep-core,v29
design,v29,soep-core,v29
hpausl,v29,soep-core,v29
hbrutt09,v29,soep-core,v29
fhgen,v29,soep-core,v29
upgen,v29,soep-core,v29
bioresid,v29,soep-core,v29
epgen,v29,soep-core,v29
mh,v29,soep-core,v29
ypluecke,v29,soep-core,v29
bioage10,v29,soep-core,v29
bh,v29,soep-core,v29
zp,v29,soep-core,v29
hbrutt12,v29,soep-core,v29
lpequiv,v29,soep-core,v29
wpluecke,v29,soep-core,v29
ghost,v29,soep-core,v29
ypkal,v29,soep-core,v29
vpbrutto,v29,soep-core,v29
hhrf,v29,soep-core,v29
cpgen,v29,soep-core,v29
spequiv,v29,soep-core,v29
bbpbrutto,v29,soep-core,v29
pbr_hhch,v29,soep-core,v29
ypgen,v29,soep-core,v29
mkind,v29,soep-core,v29
zh,v29,soep-core,v29
apkal,v29,soep-core,v29
khbrutto,v29,soep-core,v29
qpkal,v29,soep-core,v29
opgen,v29,soep-core,v29
yhbrutto,v29,soep-core,v29
jpbrutto,v29,soep-core,v29
bbhgen,v29,soep-core,v29
qpluecke,v29,soep-core,v29
ggkbou,v29,soep-core,v29
hhbrutto,v29,soep-core,v29
fpkal,v29,soep-core,v29
wp,v29,soep-core,v29
npgen,v29,soep-core,v29
op,v29,soep-core,v29
artkalen,v29,soep-core,v29
whbrutto,v29,soep-core,v29
nh,v29,soep-core,v29
spkal,v29,soep-core,v29
nhgen,v29,soep-core,v29
bhgen,v29,soep-core,v29
vhbrutto,v29,soep-core,v29
cpbrutto,v29,soep-core,v29
vpequiv,v29,soep-core,v29
uhbrutto,v29,soep-core,v29
mpgen,v29,soep-core,v29
qp,v29,soep-core,v29
opequiv,v29,soep-core,v29
rkind,v29,soep-core,v29
kkind,v29,soep-core,v29
lkind,v29,soep-core,v29
jpkal,v29,soep-core,v29
lifespell,v29,soep-core,v29
bakind,v29,soep-core,v29
ip,v29,soep-core,v29
cpkal,v29,soep-core,v29
shbrutto,v29,soep-core,v29
exit,v29,soep-core,v29
hpgen,v29,soep-core,v29
fkind,v29,soep-core,v29
bioagel,v29,soep-core,v29
bapluecke,v29,soep-core,v29
zhgen,v29,soep-core,v29
pflege,v29,soep-core,v29
wpkal,v29,soep-core,v29
biosoc,v29,soep-core,v29
intview,v29,soep-core,v29
ipgen,v29,soep-core,v29
ppkal,v29,soep-core,v29
cpausl,v29,soep-core,v29
hpost,v29,soep-core,v29
th,v29,soep-core,v29
bavp,v29,soep-core,v29
bapkal,v29,soep-core,v29
qpequiv,v29,soep-core,v29
ypage17,v29,soep-core,v29
hp,v29,soep-core,v29
cpequiv,v29,soep-core,v29
zvp,v29,soep-core,v29
ohgen,v29,soep-core,v29
timepref,v29,soep-core,v29
vpluecke,v29,soep-core,v29
ohbrutto,v29,soep-core,v29
ahbrutto,v29,soep-core,v29
hbrutt98,v29,soep-core,v29
hconsum,v29,soep-core,v29
dp,v29,soep-core,v29
rpbrutto,v29,soep-core,v29
gpbrutto,v29,soep-core,v29
sh,v29,soep-core,v29
spgen,v29,soep-core,v29
gpkal,v29,soep-core,v29
jpluecke,v29,soep-core,v29
zhbrutto,v29,soep-core,v29
bioage17,v29,soep-core,v29
gripstr,v29,soep-core,v29
ypbrutto,v29,soep-core,v29
sp,v29,soep-core,v29
ahgen,v29,soep-core,v29
bapgen,v29,soep-core,v29
mpkal,v29,soep-core,v29
opbrutto,v29,soep-core,v29
bapequiv,v29,soep-core,v29
lpbrutto,v29,soep-core,v29
biocouplm,v29,soep-core,v29
qkind,v29,soep-core,v29
npkal,v29,soep-core,v29
bpgen,v29,soep-core,v29
zpbrutto,v29,soep-core,v29
fh,v29,soep-core,v29
gh,v29,soep-core,v29
bpbrutto,v29,soep-core,v29
hbrutt06,v29,soep-core,v29
rp,v29,soep-core,v29
bbhbrutto,v29,soep-core,v29
bpluecke,v29,soep-core,v29
ev,v29,soep-core,v29
fhbrutto,v29,soep-core,v29
wkind,v29,soep-core,v29
wpage17,v29,soep-core,v29
bcpage17,v29,soep-core,v29
sozkalen,v29,soep-core,v29
xpgen,v29,soep-core,v29
bioage06,v29,soep-core,v29
ipkal,v29,soep-core,v29
bpausl,v29,soep-core,v29
thgen,v29,soep-core,v29
kh,v29,soep-core,v29
ikind,v29,soep-core,v29
apbrutto,v29,soep-core,v29
rpkal,v29,soep-core,v29
jhgen,v29,soep-core,v29
gp,v29,soep-core,v29
opluecke,v29,soep-core,v29
rpluecke,v29,soep-core,v29
ap,v29,soep-core,v29
bbpluecke,v29,soep-core,v29
bioparen,v29,soep-core,v29
gpequiv,v29,soep-core,v29
bbkind,v29,soep-core,v29
cognit,v29,soep-core,v29
lpausl,v29,soep-core,v29
tp,v29,soep-core,v29
mhgen,v29,soep-core,v29
wpbrutto,v29,soep-core,v29
gpost,v29,soep-core,v29
ipbrutto,v29,soep-core,v29
dpequiv,v29,soep-core,v29
fpluecke,v29,soep-core,v29
bioage08a,v29,soep-core,v29
biomarsm,v29,soep-core,v29
rh,v29,soep-core,v29
ehbrutto,v29,soep-core,v29
shgen,v29,soep-core,v29
bahbrutto,v29,soep-core,v29
bchgen,v29,soep-core,v29
jpequiv,v29,soep-core,v29
dpkal,v29,soep-core,v29
zpage17,v29,soep-core,v29
spluecke,v29,soep-core,v29
bcpkal,v29,soep-core,v29
xh,v29,soep-core,v29
biobrthm,v29,soep-core,v29
pp,v29,soep-core,v29
upluecke,v29,soep-core,v29
dpausl,v29,soep-core,v29
ukind,v29,soep-core,v29
tpluecke,v29,soep-core,v29
de,v29,soep-core,v29
ipequiv,v29,soep-core,v29
upbrutto,v29,soep-core,v29
hkind,v29,soep-core,v29
apequiv,v29,soep-core,v29
epequiv,v29,soep-core,v29
zpgen,v29,soep-core,v29
bbh,v29,soep-core,v29
phgen,v29,soep-core,v29
ep,v29,soep-core,v29
phrf,v29,soep-core,v29
ckind,v29,soep-core,v29
lh,v29,soep-core,v29
epkal,v29,soep-core,v29
jp,v29,soep-core,v29
xpequiv,v29,soep-core,v29
lhbrutto,v29,soep-core,v29
mpluecke,v29,soep-core,v29
okind,v29,soep-core,v29
nkind,v29,soep-core,v29
hpfad,v29,soep-core,v29
kpkal,v30,soep-core,v30
hh,v30,soep-core,v30
upkal,v30,soep-core,v30
tpequiv,v30,soep-core,v30
epausl,v30,soep-core,v30
bapbrutto,v30,soep-core,v30
lpkal,v30,soep-core,v30
hbrutt00,v30,soep-core,v30
bioage08b,v30,soep-core,v30
fpgen,v30,soep-core,v30
mp,v30,soep-core,v30
bp,v30,soep-core,v30
npluecke,v30,soep-core,v30
hpkal,v30,soep-core,v30
vpkal,v30,soep-core,v30
bcpbrutto,v30,soep-core,v30
akind,v30,soep-core,v30
hpluecke,v30,soep-core,v30
qpbrutto,v30,soep-core,v30
hpkalost,v30,soep-core,v30
ppfad,v30,soep-core,v30
biojob,v30,soep-core,v30
zkind,v30,soep-core,v30
hpbrutto,v30,soep-core,v30
lpluecke,v30,soep-core,v30
whgen,v30,soep-core,v30
bdp,v30,soep-core,v30
biotwin,v30,soep-core,v30
qpgen,v30,soep-core,v30
kpequiv,v30,soep-core,v30
ph,v30,soep-core,v30
biosib,v30,soep-core,v30
tpgen,v30,soep-core,v30
bbpage17,v30,soep-core,v30
npequiv,v30,soep-core,v30
ah,v30,soep-core,v30
ypequiv,v30,soep-core,v30
cirdef,v30,soep-core,v30
ghbrutto,v30,soep-core,v30
bbp,v30,soep-core,v30
bpkal,v30,soep-core,v30
wpgen,v30,soep-core,v30
xhgen,v30,soep-core,v30
ihgen,v30,soep-core,v30
khgen,v30,soep-core,v30
gpausl,v30,soep-core,v30
cogdj,v30,soep-core,v30
bah,v30,soep-core,v30
cpluecke,v30,soep-core,v30
epluecke,v30,soep-core,v30
ppbrutto,v30,soep-core,v30
bchbrutto,v30,soep-core,v30
hpequiv,v30,soep-core,v30
bioage01,v30,soep-core,v30
dpbrutto,v30,soep-core,v30
uhgen,v30,soep-core,v30
fp,v30,soep-core,v30
fpbrutto,v30,soep-core,v30
hbrutt11,v30,soep-core,v30
opkal,v30,soep-core,v30
biomarsy,v30,soep-core,v30
ykind,v30,soep-core,v30
dhgen,v30,soep-core,v30
bcp,v30,soep-core,v30
epbrutto,v30,soep-core,v30
xkind,v30,soep-core,v30
apausl,v30,soep-core,v30
ghgen,v30,soep-core,v30
up,v30,soep-core,v30
bch,v30,soep-core,v30
vh,v30,soep-core,v30
bahgen,v30,soep-core,v30
bpequiv,v30,soep-core,v30
jpgen,v30,soep-core,v30
qh,v30,soep-core,v30
xpage17,v30,soep-core,v30
qhgen,v30,soep-core,v30
xpbrutto,v30,soep-core,v30
kpausl,v30,soep-core,v30
jpausl,v30,soep-core,v30
rhgen,v30,soep-core,v30
xhbrutto,v30,soep-core,v30
pkind,v30,soep-core,v30
rpequiv,v30,soep-core,v30
mpequiv,v30,soep-core,v30
ekind,v30,soep-core,v30
biobirth,v30,soep-core,v30
uh,v30,soep-core,v30
einkalen,v30,soep-core,v30
bdvp,v30,soep-core,v30
yp,v30,soep-core,v30
ch,v30,soep-core,v30
apgen,v30,soep-core,v30
tkind,v30,soep-core,v30
zpkal,v30,soep-core,v30
thbrutto,v30,soep-core,v30
pwealth,v30,soep-core,v30
bioage03,v30,soep-core,v30
bkind,v30,soep-core,v30
ehgen,v30,soep-core,v30
hhgen,v30,soep-core,v30
bbvp,v30,soep-core,v30
pbr_exit,v30,soep-core,v30
tpkal,v30,soep-core,v30
bcpgen,v30,soep-core,v30
phbrutto,v30,soep-core,v30
gpluecke,v30,soep-core,v30
wh,v30,soep-core,v30
ihbrutto,v30,soep-core,v30
bcpequiv,v30,soep-core,v30
dpgen,v30,soep-core,v30
hbrutt84,v30,soep-core,v30
biocouply,v30,soep-core,v30
npbrutto,v30,soep-core,v30
chbrutto,v30,soep-core,v30
xpluecke,v30,soep-core,v30
yhgen,v30,soep-core,v30
vkind,v30,soep-core,v30
zpequiv,v30,soep-core,v30
bbpequiv,v30,soep-core,v30
dkind,v30,soep-core,v30
bapage17,v30,soep-core,v30
mhbrutto,v30,soep-core,v30
bdhgen,v30,soep-core,v30
ppgen,v30,soep-core,v30
trust,v30,soep-core,v30
ipluecke,v30,soep-core,v30
tpbrutto,v30,soep-core,v30
ppequiv,v30,soep-core,v30
gpkalost,v30,soep-core,v30
hbrutt02,v30,soep-core,v30
wpequiv,v30,soep-core,v30
kpgen,v30,soep-core,v30
bhbrutto,v30,soep-core,v30
xpkal,v30,soep-core,v30
bioedu,v30,soep-core,v30
bbpkal,v30,soep-core,v30
yh,v30,soep-core,v30
kidlong,v30,soep-core,v30
lpgen,v30,soep-core,v30
fpausl,v30,soep-core,v30
vp,v30,soep-core,v30
gpgen,v30,soep-core,v30
bcvp,v30,soep-core,v30
lp,v30,soep-core,v30
ppluecke,v30,soep-core,v30
hwealth,v30,soep-core,v30
skind,v30,soep-core,v30
bioimmig,v30,soep-core,v30
jkind,v30,soep-core,v30
nhbrutto,v30,soep-core,v30
dhbrutto,v30,soep-core,v30
fpequiv,v30,soep-core,v30
kpbrutto,v30,soep-core,v30
lhgen,v30,soep-core,v30
health,v30,soep-core,v30
upequiv,v30,soep-core,v30
rpgen,v30,soep-core,v30
bckind,v30,soep-core,v30
oh,v30,soep-core,v30
qhbrutto,v30,soep-core,v30
eh,v30,soep-core,v30
dpluecke,v30,soep-core,v30
gkind,v30,soep-core,v30
ih,v30,soep-core,v30
kp,v30,soep-core,v30
chgen,v30,soep-core,v30
jhbrutto,v30,soep-core,v30
ipausl,v30,soep-core,v30
vpgen,v30,soep-core,v30
bbpgen,v30,soep-core,v30
rhbrutto,v30,soep-core,v30
dh,v30,soep-core,v30
spbrutto,v30,soep-core,v30
np,v30,soep-core,v30
mihinc,v30,soep-core,v30
bap,v30,soep-core,v30
mpbrutto,v30,soep-core,v30
abroad,v30,soep-core,v30
pbiospe,v30,soep-core,v30
zpluecke,v30,soep-core,v30
cp,v30,soep-core,v30
vhgen,v30,soep-core,v30
jh,v30,soep-core,v30
xp,v30,soep-core,v30
kpluecke,v30,soep-core,v30
design,v30,soep-core,v30
hpausl,v30,soep-core,v30
hbrutt09,v30,soep-core,v30
fhgen,v30,soep-core,v30
upgen,v30,soep-core,v30
bdpkal,v30,soep-core,v30
bioresid,v30,soep-core,v30
epgen,v30,soep-core,v30
mh,v30,soep-core,v30
ypluecke,v30,soep-core,v30
bioage10,v30,soep-core,v30
bh,v30,soep-core,v30
zp,v30,soep-core,v30
hbrutt12,v30,soep-core,v30
lpequiv,v30,soep-core,v30
wpluecke,v30,soep-core,v30
ghost,v30,soep-core,v30
ypkal,v30,soep-core,v30
vpbrutto,v30,soep-core,v30
hhrf,v30,soep-core,v30
cpgen,v30,soep-core,v30
bdpbrutto,v30,soep-core,v30
spequiv,v30,soep-core,v30
bbpbrutto,v30,soep-core,v30
pbr_hhch,v30,soep-core,v30
ypgen,v30,soep-core,v30
mkind,v30,soep-core,v30
zh,v30,soep-core,v30
apkal,v30,soep-core,v30
khbrutto,v30,soep-core,v30
qpkal,v30,soep-core,v30
opgen,v30,soep-core,v30
yhbrutto,v30,soep-core,v30
jpbrutto,v30,soep-core,v30
bbhgen,v30,soep-core,v30
qpluecke,v30,soep-core,v30
ggkbou,v30,soep-core,v30
hhbrutto,v30,soep-core,v30
fpkal,v30,soep-core,v30
wp,v30,soep-core,v30
npgen,v30,soep-core,v30
op,v30,soep-core,v30
artkalen,v30,soep-core,v30
whbrutto,v30,soep-core,v30
nh,v30,soep-core,v30
spkal,v30,soep-core,v30
nhgen,v30,soep-core,v30
bhgen,v30,soep-core,v30
vhbrutto,v30,soep-core,v30
cpbrutto,v30,soep-core,v30
bdkind,v30,soep-core,v30
vpequiv,v30,soep-core,v30
uhbrutto,v30,soep-core,v30
mpgen,v30,soep-core,v30
qp,v30,soep-core,v30
opequiv,v30,soep-core,v30
rkind,v30,soep-core,v30
kkind,v30,soep-core,v30
lkind,v30,soep-core,v30
jpkal,v30,soep-core,v30
lifespell,v30,soep-core,v30
bakind,v30,soep-core,v30
bdpequiv,v30,soep-core,v30
ip,v30,soep-core,v30
cpkal,v30,soep-core,v30
shbrutto,v30,soep-core,v30
exit,v30,soep-core,v30
hpgen,v30,soep-core,v30
fkind,v30,soep-core,v30
bioagel,v30,soep-core,v30
bapluecke,v30,soep-core,v30
zhgen,v30,soep-core,v30
pflege,v30,soep-core,v30
wpkal,v30,soep-core,v30
biosoc,v30,soep-core,v30
bdp_mig,v30,soep-core,v30
intview,v30,soep-core,v30
ipgen,v30,soep-core,v30
ppkal,v30,soep-core,v30
cpausl,v30,soep-core,v30
hpost,v30,soep-core,v30
th,v30,soep-core,v30
bavp,v30,soep-core,v30
bapkal,v30,soep-core,v30
qpequiv,v30,soep-core,v30
ypage17,v30,soep-core,v30
hp,v30,soep-core,v30
cpequiv,v30,soep-core,v30
zvp,v30,soep-core,v30
bdh,v30,soep-core,v30
ohgen,v30,soep-core,v30
timepref,v30,soep-core,v30
vpluecke,v30,soep-core,v30
ohbrutto,v30,soep-core,v30
ahbrutto,v30,soep-core,v30
hbrutt98,v30,soep-core,v30
hconsum,v30,soep-core,v30
dp,v30,soep-core,v30
rpbrutto,v30,soep-core,v30
gpbrutto,v30,soep-core,v30
sh,v30,soep-core,v30
spgen,v30,soep-core,v30
gpkal,v30,soep-core,v30
jpluecke,v30,soep-core,v30
zhbrutto,v30,soep-core,v30
bioage17,v30,soep-core,v30
gripstr,v30,soep-core,v30
ypbrutto,v30,soep-core,v30
sp,v30,soep-core,v30
ahgen,v30,soep-core,v30
bapgen,v30,soep-core,v30
mpkal,v30,soep-core,v30
opbrutto,v30,soep-core,v30
bapequiv,v30,soep-core,v30
lpbrutto,v30,soep-core,v30
biocouplm,v30,soep-core,v30
qkind,v30,soep-core,v30
npkal,v30,soep-core,v30
bpgen,v30,soep-core,v30
zpbrutto,v30,soep-core,v30
fh,v30,soep-core,v30
gh,v30,soep-core,v30
bpbrutto,v30,soep-core,v30
hbrutt06,v30,soep-core,v30
rp,v30,soep-core,v30
bbhbrutto,v30,soep-core,v30
bpluecke,v30,soep-core,v30
ev,v30,soep-core,v30
fhbrutto,v30,soep-core,v30
wkind,v30,soep-core,v30
wpage17,v30,soep-core,v30
bcpage17,v30,soep-core,v30
migspell,v30,soep-core,v30
sozkalen,v30,soep-core,v30
xpgen,v30,soep-core,v30
bioage06,v30,soep-core,v30
ipkal,v30,soep-core,v30
bpausl,v30,soep-core,v30
thgen,v30,soep-core,v30
kh,v30,soep-core,v30
ikind,v30,soep-core,v30
apbrutto,v30,soep-core,v30
rpkal,v30,soep-core,v30
bdpgen,v30,soep-core,v30
jhgen,v30,soep-core,v30
gp,v30,soep-core,v30
opluecke,v30,soep-core,v30
rpluecke,v30,soep-core,v30
ap,v30,soep-core,v30
bbpluecke,v30,soep-core,v30
bioparen,v30,soep-core,v30
gpequiv,v30,soep-core,v30
bbkind,v30,soep-core,v30
cognit,v30,soep-core,v30
lpausl,v30,soep-core,v30
tp,v30,soep-core,v30
mhgen,v30,soep-core,v30
wpbrutto,v30,soep-core,v30
gpost,v30,soep-core,v30
ipbrutto,v30,soep-core,v30
dpequiv,v30,soep-core,v30
fpluecke,v30,soep-core,v30
bioage08a,v30,soep-core,v30
biomarsm,v30,soep-core,v30
rh,v30,soep-core,v30
ehbrutto,v30,soep-core,v30
shgen,v30,soep-core,v30
bahbrutto,v30,soep-core,v30
bchgen,v30,soep-core,v30
bcpluecke,v30,soep-core,v30
jpequiv,v30,soep-core,v30
dpkal,v30,soep-core,v30
zpage17,v30,soep-core,v30
spluecke,v30,soep-core,v30
bcpkal,v30,soep-core,v30
xh,v30,soep-core,v30
biobrthm,v30,soep-core,v30
pp,v30,soep-core,v30
upluecke,v30,soep-core,v30
dpausl,v30,soep-core,v30
ukind,v30,soep-core,v30
tpluecke,v30,soep-core,v30
de,v30,soep-core,v30
ipequiv,v30,soep-core,v30
upbrutto,v30,soep-core,v30
hkind,v30,soep-core,v30
apequiv,v30,soep-core,v30
bdpage17,v30,soep-core,v30
epequiv,v30,soep-core,v30
zpgen,v30,soep-core,v30
bbh,v30,soep-core,v30
phgen,v30,soep-core,v30
bdhbrutto,v30,soep-core,v30
ep,v30,soep-core,v30
phrf,v30,soep-core,v30
ckind,v30,soep-core,v30
lh,v30,soep-core,v30
epkal,v30,soep-core,v30
jp,v30,soep-core,v30
xpequiv,v30,soep-core,v30
lhbrutto,v30,soep-core,v30
mpluecke,v30,soep-core,v30
okind,v30,soep-core,v30
nkind,v30,soep-core,v30
hpfad,v30,soep-core,v30
